,Features,VIF
28,loc_og_mou_7,64.87
29,loc_og_mou_8,62.87
27,loc_og_mou_6,59.91
64,loc_ic_mou_7,55.12
65,loc_ic_mou_8,51.73
63,loc_ic_mou_6,51.03
95,total_rech_amt_8,44.71
94,total_rech_amt_7,41.28
19,loc_og_t2m_mou_7,39.76
93,total_rech_amt_6,39.24
20,loc_og_t2m_mou_8,38.21
18,loc_og_t2m_mou_6,36.22
40,std_og_mou_7,33.97
41,std_og_mou_8,31.15
39,std_og_mou_6,30.09
58,loc_ic_t2m_mou_7,28.58
59,loc_ic_t2m_mou_8,27.71
98,max_rech_amt_8,26.15
57,loc_ic_t2m_mou_6,25.85
52,total_og_mou_7,25.56
53,total_og_mou_8,25.2
97,max_rech_amt_7,25.09
79,total_ic_mou_7,24.25
96,max_rech_amt_6,23.4
51,total_og_mou_6,22.21
78,total_ic_mou_6,21.88
80,total_ic_mou_8,20.49
76,std_ic_mou_7,18.75
34,std_og_t2m_mou_7,18.69
77,std_ic_mou_8,18.02
75,std_ic_mou_6,17.4
35,std_og_t2m_mou_8,17.09
33,std_og_t2m_mou_6,16.41
16,loc_og_t2t_mou_7,15.65
4,onnet_mou_7,15.5
17,loc_og_t2t_mou_8,14.87
31,std_og_t2t_mou_7,14.77
5,onnet_mou_8,14.49
7,offnet_mou_7,14.36
8,offnet_mou_8,13.96
15,loc_og_t2t_mou_6,13.94
32,std_og_t2t_mou_8,13.29
3,onnet_mou_6,12.68
30,std_og_t2t_mou_6,12.63
6,offnet_mou_6,11.97
70,std_ic_t2m_mou_7,11.33
71,std_ic_t2m_mou_8,10.9
69,std_ic_t2m_mou_6,10.46
55,loc_ic_t2t_mou_7,8.35
56,loc_ic_t2t_mou_8,7.93
54,loc_ic_t2t_mou_6,7.82
2,arpu_8,6.82
106,vol_3g_mb_7,6.65
107,vol_3g_mb_8,6.19
105,vol_3g_mb_6,6.12
92,total_rech_num_8,6.08
12,roam_og_mou_6,5.94
122,jul_vbc_3g,5.76
1,arpu_7,5.74
90,total_rech_num_6,5.67
0,arpu_6,5.67
13,roam_og_mou_7,5.65
91,total_rech_num_7,5.64
14,roam_og_mou_8,5.46
9,roam_ic_mou_6,5.39
10,roam_ic_mou_7,5.29
11,roam_ic_mou_8,5.12
121,aug_vbc_3g,4.92
67,std_ic_t2t_mou_7,4.9
123,jun_vbc_3g,4.66
68,std_ic_t2t_mou_8,4.58
103,vol_2g_mb_7,4.54
66,std_ic_t2t_mou_6,4.51
102,vol_2g_mb_6,4.18
104,vol_2g_mb_8,3.89
61,loc_ic_t2f_mou_7,3.71
112,sachet_2g_7,3.64
111,sachet_2g_6,3.36
62,loc_ic_t2f_mou_8,3.32
60,loc_ic_t2f_mou_6,3.27
116,monthly_3g_8,2.93
113,sachet_2g_8,2.91
115,monthly_3g_7,2.89
109,monthly_2g_7,2.84
22,loc_og_t2f_mou_7,2.81
114,monthly_3g_6,2.79
85,isd_ic_mou_7,2.76
108,monthly_2g_6,2.72
110,monthly_2g_8,2.69
46,spl_og_mou_7,2.67
47,spl_og_mou_8,2.59
21,loc_og_t2f_mou_6,2.58
23,loc_og_t2f_mou_8,2.57
73,std_ic_t2f_mou_7,2.52
84,isd_ic_mou_6,2.41
72,std_ic_t2f_mou_6,2.4
74,std_ic_t2f_mou_8,2.39
86,isd_ic_mou_8,2.38
45,spl_og_mou_6,2.35
43,isd_og_mou_7,2.13
37,std_og_t2f_mou_7,2.08
36,std_og_t2f_mou_6,1.99
25,loc_og_t2c_mou_7,1.98
26,loc_og_t2c_mou_8,1.97
38,std_og_t2f_mou_8,1.94
42,isd_og_mou_6,1.91
44,isd_og_mou_8,1.88
24,loc_og_t2c_mou_6,1.85
101,last_day_rch_amt_8,1.8
99,last_day_rch_amt_6,1.8
118,sachet_3g_7,1.73
100,last_day_rch_amt_7,1.7
119,sachet_3g_8,1.65
117,sachet_3g_6,1.61
88,ic_others_7,1.44
48,og_others_6,1.37
89,ic_others_8,1.35
87,ic_others_6,1.33
120,aon,1.32
50,og_others_8,1.25
49,og_others_7,1.25
81,spl_ic_mou_6,1.25
82,spl_ic_mou_7,1.2
83,spl_ic_mou_8,1.15
